pos;name;pais1;pais2;num;edad;team_name
Defensa central;Ferro;Portugal;;4;26/03/1997;gd_estoril_praia
Defensa central;Antef Tsoungui;Bélgica;Inglaterra;5;30/12/2002;gd_estoril_praia
Defensa central;Or Israelov;Israel;Portugal;18;02/09/2004;gd_estoril_praia
Lateral izquierdo;Pedro Amaral;Portugal;;24;25/08/1997;gd_estoril_praia
Lateral izquierdo;Gonçalo Costa;Portugal;;20;18/02/2000;gd_estoril_praia
Lateral derecho;Ricard Sánchez;España;;2;22/02/2000;gd_estoril_praia
Lateral derecho;Pedro Carvalho;Portugal;;22;14/02/2003;gd_estoril_praia
Pivote;Jordan Holsgrove;Escocia;Inglaterra;10;10/09/1999;gd_estoril_praia
Pivote;Jandro Orellana;España;;6;07/08/2000;gd_estoril_praia
Mediocentro;Xeka;Portugal;;8;10/11/1994;gd_estoril_praia
Mediocentro;Nodar Lominadze;Georgia;;7;04/04/2002;gd_estoril_praia
Mediocentro ofensivo;João Carvalho;Portugal;;12;09/03/1997;gd_estoril_praia
Mediocentro ofensivo;Pizzi;Portugal;;21;06/10/1989;gd_estoril_praia
Extremo izquierdo;André Lacximicant;Portugal;;19;19/05/2001;gd_estoril_praia
Extremo derecho;Rafik Guitane;Argelia;Francia;99;26/05/1999;gd_estoril_praia
Delantero centro;Yanis Begraoui;Marruecos;Francia;14;04/07/2001;gd_estoril_praia
Delantero centro;Alejandro Marqués;Venezuela;España;9;04/08/2000;gd_estoril_praia
Delantero centro;Khayon Edwards;Jamaica;Inglaterra;11;12/09/2003;gd_estoril_praia
Portero;Lucão;Brasil;;30;26/02/2001;gil_vicente_fc
Portero;Dani Figueira;Portugal;;99;20/07/1998;gil_vicente_fc
Defensa central;Marvin Elimbi;Francia;Camerún;4;20/02/2003;gil_vicente_fc
Defensa central;Buatu;Angola;Bélgica;39;27/09/1993;gil_vicente_fc
Defensa central;Antonio Espigares;España;;48;05/09/2004;gil_vicente_fc
Defensa central;Arthur Tchaptchet;Francia;Camerún;59;10/05/2006;gil_vicente_fc
Lateral izquierdo;Ghislain Konan;Costa de Marfil;;3;27/12/1995;gil_vicente_fc
Lateral izquierdo;Weverson;Brasil;;26;05/07/2000;gil_vicente_fc
Lateral derecho;Zé Carlos;Portugal;;2;31/07/1998;gil_vicente_fc
Lateral derecho;Hevertton;Portugal;Brasil;20;01/02/2001;gil_vicente_fc
Lateral derecho;Jonathan Mutombo;Francia;RD del Congo;45;27/08/2002;gil_vicente_fc
Pivote;Mohamed Bamba;Costa de Marfil;;8;08/10/2004;gil_vicente_fc
Mediocentro;Facundo Cáseres;Argentina;;5;28/05/2001;gil_vicente_fc
Mediocentro;Zé Carlos;Portugal;;6;30/10/2001;gil_vicente_fc
Mediocentro;Gonçalo Maia;Portugal;;82;30/11/2005;gil_vicente_fc
Mediocentro ofensivo;Luís Esteves;Portugal;;10;09/04/1998;gil_vicente_fc
Mediocentro ofensivo;Santi García;España;;95;29/08/2001;gil_vicente_fc
Mediocentro ofensivo;Martín Fernández;Uruguay;;32;23/06/2003;gil_vicente_fc
Mediocentro ofensivo;Gil Martins;Portugal;;19;12/05/2006;gil_vicente_fc
