pos;name;pais1;pais2;num;edad;team_name
Defensa central;Bedirhan Çetin;Turquía;;96;29/06/2006;samsunspor
Defensa central;Ali Badra Diabaté;Costa de Marfil;;15;05/12/2006;samsunspor
Lateral izquierdo;Logi Tómasson;Islandia;;17;13/09/2000;samsunspor
Lateral izquierdo;Soner Gönül;Turquía;;28;11/06/1997;samsunspor
Lateral izquierdo;Enes Albak;Turquía;;23;16/05/2005;samsunspor
Lateral derecho;Joe Mendes;Suecia;RD del Congo;2;31/12/2002;samsunspor
Lateral derecho;Zeki Yavru;Turquía;;18;05/09/1991;samsunspor
Pivote;Antoine Makoumbou;Congo;Francia;29;18/07/1998;samsunspor
Pivote;Yunus Emre Çift;Turquía;;55;01/09/2003;samsunspor
Pivote;Franck Atoen;Camerún;;25;21/07/2006;samsunspor
Pivote;Eyüp Değirmenci;Turquía;;73;16/04/2007;samsunspor
Mediocentro;Olivier Ntcham;Camerún;Francia;10;09/02/1996;samsunspor
Mediocentro;Celil Yüksel;Turquía;;5;01/01/1998;samsunspor
Mediocentro;Yalçın Kayan;Turquía;;20;30/01/1999;samsunspor
Mediocentro;Muhammet Özbaskıcı;Turquía;;-;27/09/2005;samsunspor
Mediocentro;Alper Efe Pazar;Turquía;;-;08/02/2005;samsunspor
Mediocentro ofensivo;Carlo Holse;Dinamarca;;21;02/06/1999;samsunspor
Mediocentro ofensivo;Afonso Sousa;Portugal;;77;03/05/2000;samsunspor
Extremo izquierdo;Jaurès Assoumou;Costa de Marfil;Malí;47;17/10/2002;samsunspor
Extremo izquierdo;Emre Kılınç;Turquía;;11;23/08/1994;samsunspor
Extremo izquierdo;Tahsin Bülbül;Turquía;;16;09/06/2006;samsunspor
Extremo izquierdo;Saikuba Jarju;Gambia;;30;09/12/2007;samsunspor
Extremo derecho;Elayis Tavsan;Turquía;Países Bajos;7;30/04/2001;samsunspor
Extremo derecho;Tanguy Coulibaly;Francia;Costa de Marfil;70;18/02/2001;samsunspor
