pos;name;pais1;pais2;num;edad;team_name
Defensa central;Klisman Cake;Albania;;5;02/05/1999;akhmat_grozny
Defensa central;Mohammadmehdi Zare;Irán;;22;25/01/2003;akhmat_grozny
Defensa central;Ousmane N'Dong;Senegal;;90;20/09/1999;akhmat_grozny
Lateral izquierdo;Miroslav Bogosavac;Serbia;;8;14/10/1996;akhmat_grozny
Lateral izquierdo;Maksim Sidorov;Rusia;;81;18/03/1998;akhmat_grozny
Lateral derecho;Daniil Khlusevich;Rusia;Ucrania;82;26/02/2001;akhmat_grozny
Lateral derecho;Rizvan Utsiev;Rusia;;40;07/02/1988;akhmat_grozny
Pivote;Kelliano;Angola;;42;16/01/2003;akhmat_grozny
Mediocentro;Ismael Silva;Brasil;;11;01/12/1994;akhmat_grozny
Mediocentro;Papa Amady Gadio;Senegal;;37;19/10/2001;akhmat_grozny
Mediocentro ofensivo;Egas Cacintura;Angola;;17;29/10/1997;akhmat_grozny
Mediocentro ofensivo;Rifat Zhemaletdinov;Rusia;;10;20/09/1996;akhmat_grozny
Mediocentro ofensivo;Sergey Pryakhin;Rusia;;19;16/12/2002;akhmat_grozny
Mediocentro ofensivo;Abakar Gadzhiev;Rusia;;70;31/12/2003;akhmat_grozny
Mediocentro ofensivo;Valeriy Tsarukyan;Rusia;;80;12/11/2001;akhmat_grozny
Extremo izquierdo;Lechi Sadulaev;Rusia;;7;08/01/2000;akhmat_grozny
Extremo izquierdo;Brian Mansilla;Argentina;;9;16/04/1997;akhmat_grozny
Extremo izquierdo;Galymzhan Kenzhebek;Kazajistán;;23;12/02/2003;akhmat_grozny
Extremo derecho;Maksim Samorodov;Kazajistán;;20;29/06/2002;akhmat_grozny
Delantero centro;Mohamed Konaté;Burkina Faso;Rusia;13;12/12/1997;akhmat_grozny
Delantero centro;Georgiy Melkadze;Rusia;Georgia;77;04/04/1997;akhmat_grozny
Portero;Aleksandr Degtev;Rusia;;35;27/04/2005;fk_sochi
Portero;Yuriy Dyupin;Rusia;;99;17/03/1988;fk_sochi
Defensa central;Aleksandr Soldatenkov;Rusia;;3;28/12/1996;fk_sochi
Defensa central;Nemanja Stojic;Serbia;;44;15/01/1998;fk_sochi
Defensa central;Marcelo Alves;Brasil;;33;07/02/1998;fk_sochi
Defensa central;Vyacheslav Litvinov;Rusia;;4;01/04/2001;fk_sochi
Defensa central;Makar Chirkov;Rusia;;37;28/01/2005;fk_sochi
Lateral izquierdo;Yahia Attiyat Allah;Marruecos;;25;02/03/1995;fk_sochi
Lateral izquierdo;Artem Makarchuk;Rusia;;17;09/11/1995;fk_sochi
Lateral derecho;Sergey Volkov;Rusia;;82;09/09/2002;fk_sochi
Lateral derecho;Kirill Zaika;Rusia;;27;07/10/1992;fk_sochi
Lateral derecho;Ruslan Magal;Rusia;;28;24/09/1991;fk_sochi
Pivote;Maksim Mukhin;Rusia;;16;04/11/2001;fk_sochi
Pivote;Kirill Kravtsov;Rusia;;14;14/06/2002;fk_sochi
Pivote;Dmitriy Vasiljev;Rusia;;20;16/06/2004;fk_sochi
Pivote;Aleksandr Osipov;Rusia;;34;21/10/1998;fk_sochi
Mediocentro;Aleksandr Kovalenko;Rusia;;19;08/08/2003;fk_sochi
Mediocentro ofensivo;Mikhail Ignatov;Rusia;;8;04/05/2000;fk_sochi
